"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Open Products page using Continue Shopping button","627","Check that Continue Shopping opens Products page","Sauce Demo RegressionTest","Sun Dec 15 16:36:40 GMT 2024","passed","Sun Dec 15 16:36:40 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkContinueShoppingOpensProducts"
"Check thank you message is correct","1244","Check that Thank you message is shown after finishing checkout","Sauce Demo RegressionTest","Sun Dec 15 16:36:35 GMT 2024","passed","Sun Dec 15 16:36:36 GMT 2024","tests.CheckoutCompleteTest","Thread#2","tests.CheckoutCompleteTest","checkThankYouMessage"
"Add product to the cart","659","Check that product is added to the cart","Sauce Demo RegressionTest","Sun Dec 15 16:36:38 GMT 2024","passed","Sun Dec 15 16:36:38 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkAddingProductToTheCart"
"Products Sorting by price (low to high)","569","Check that products prices are sorted ascending","Sauce Demo RegressionTest","Sun Dec 15 16:36:16 GMT 2024","passed","Sun Dec 15 16:36:16 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkSortPriceLowToHigh"
"Option can be set in dropdown","682","checkDropdown","Sauce Demo RegressionTest","Sun Dec 15 16:36:11 GMT 2024","passed","Sun Dec 15 16:36:11 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkDropdown"
"Products Sorting A to Z","579","Check that products name are sorted ascending","Sauce Demo RegressionTest","Sun Dec 15 16:36:14 GMT 2024","passed","Sun Dec 15 16:36:14 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkSortAtoZ"
"Negative login check","2628","Check that user cannot login with invalid data","Sauce Demo RegressionTest","Sun Dec 15 16:36:07 GMT 2024","passed","Sun Dec 15 16:36:10 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"Remove product using Remove button on Products page","10799","Check that Remove button delete added to the cart product","Sauce Demo RegressionTest","Sun Dec 15 16:36:18 GMT 2024","passed","Sun Dec 15 16:36:28 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkRemovingProductFromCart"
"Option can be set in dropdown","3148","checkDropdown","Sauce Demo RegressionTest","Sun Dec 15 16:36:07 GMT 2024","passed","Sun Dec 15 16:36:10 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkDropdown"
"Check positive login","582","Check positive login","Sauce Demo RegressionTest","Sun Dec 15 16:36:12 GMT 2024","passed","Sun Dec 15 16:36:13 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
"Shopping badge value","661","Check that the value on shopping badge is correct","Sauce Demo RegressionTest","Sun Dec 15 16:37:04 GMT 2024","passed","Sun Dec 15 16:37:04 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkShoppingBadgeValue"
"Remove button appears for added to the cart product","491","Check that Remove button appears for added to the cart product","Sauce Demo RegressionTest","Sun Dec 15 16:36:29 GMT 2024","passed","Sun Dec 15 16:36:29 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkRemoveButtonAppears"
"Option can be set in dropdown","727","checkDropdown","Sauce Demo RegressionTest","Sun Dec 15 16:36:12 GMT 2024","passed","Sun Dec 15 16:36:13 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkDropdown"
"Option can be set in dropdown","511","checkDropdown","Sauce Demo RegressionTest","Sun Dec 15 16:36:13 GMT 2024","passed","Sun Dec 15 16:36:14 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkDropdown"
"Back Home button returns to Products Page","1260","Check that Products page is opened when clicking on Back Home button","Sauce Demo RegressionTest","Sun Dec 15 16:36:37 GMT 2024","passed","Sun Dec 15 16:36:38 GMT 2024","tests.CheckoutCompleteTest","Thread#2","tests.CheckoutCompleteTest","openProductsPageUsingBackHome"
"Return to Products page from Checkout: Overview page ","1218","Check that Products page is opened when click on Cancel button","Sauce Demo RegressionTest","Sun Dec 15 16:36:33 GMT 2024","passed","Sun Dec 15 16:36:34 GMT 2024","tests.CheckoutOverviewTest","Thread#2","tests.CheckoutOverviewTest","openProductsPage"
"Add products to the cart>remove products from the cart>check the cart is empty","10845","Add products to the cart>remove products from the cart>check the cart is empty","Sauce Demo RegressionTest","Sun Dec 15 16:36:52 GMT 2024","passed","Sun Dec 15 16:37:03 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkEndToEndCase"
