"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Shopping badge value","638","Check that the value on shopping badge is correct","Sauce Demo RegressionTest","Thu Dec 12 18:11:38 GMT 2024","passed","Thu Dec 12 18:11:38 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkShoppingBadgeValue"
"Check positive login","749","Check positive login","Sauce Demo RegressionTest","Thu Dec 12 18:10:45 GMT 2024","passed","Thu Dec 12 18:10:46 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
"Products Sorting A to Z","563","Check that products name are sorted ascending","Sauce Demo RegressionTest","Thu Dec 12 18:10:47 GMT 2024","passed","Thu Dec 12 18:10:47 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkSortAtoZ"
"Finish Checkout","1207","Check that Checkout: Complete! page is opened when clicking on Finish button","Sauce Demo RegressionTest","Thu Dec 12 18:11:03 GMT 2024","passed","Thu Dec 12 18:11:04 GMT 2024","tests.CheckoutOverviewTest","Thread#2","tests.CheckoutOverviewTest","finishCheckout"
"Return to Products page from Checkout: Overview page ","1385","Check that Products page is opened when click on Cancel button","Sauce Demo RegressionTest","Thu Dec 12 18:11:06 GMT 2024","passed","Thu Dec 12 18:11:07 GMT 2024","tests.CheckoutOverviewTest","Thread#2","tests.CheckoutOverviewTest","openProductsPage"
"Option can be set in dropdown","657","checkDropdown","Sauce Demo RegressionTest","Thu Dec 12 18:10:46 GMT 2024","passed","Thu Dec 12 18:10:46 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkDropdown"
"Negative login check","591","Check that user cannot login with invalid data","Sauce Demo RegressionTest","Thu Dec 12 18:10:44 GMT 2024","passed","Thu Dec 12 18:10:45 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"Remove product from cart","10745","Check that the product is removed from cart","Sauce Demo RegressionTest","Thu Dec 12 18:11:15 GMT 2024","passed","Thu Dec 12 18:11:25 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkRemovingProductFromCart"
"Add product to the cart","756","Check that product is added to the cart","Sauce Demo RegressionTest","Thu Dec 12 18:11:11 GMT 2024","passed","Thu Dec 12 18:11:12 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkAddingProductToTheCart"
"Option can be set in dropdown","921","checkDropdown","Sauce Demo RegressionTest","Thu Dec 12 18:10:42 GMT 2024","passed","Thu Dec 12 18:10:43 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkDropdown"
